"strain" "hours_to_starve" "block" "type"
"A_QG3337" 85.5166666666667 "A6" "RIL"
"A_QG3205" 100.316666666667 "A6" "RIL"
"A_QG3241" 98.8166666666667 "A6" "RIL"
"A_QG3139" 91.05 "A6" "RIL"
"A_QG3392" 91.1833333333333 "A6" "RIL"
"A_QG3248" 91.3166666666667 "A6" "RIL"
"A_QG3266" 110.766666666667 "A6" "RIL"
"A_QG3488" 110.366666666667 "A6" "RIL"
"A_QG3089" 89.8 "A6" "RIL"
"A_QG3138" 89.0333333333333 "A6" "RIL"
"A_QG3255" 94.5833333333333 "A6" "RIL"
"A_QG3410" 140.183333333333 "A6" "RIL"
"A_QG3238" 123.166666666667 "A6" "RIL"
"A_QG3246" 99.35 "A6" "RIL"
"A_QG3089" 110.566666666667 "A6" "RIL"
"A_QG3139" 93.8833333333333 "A6" "RIL"
"A_QG3233" 105.633333333333 "A6" "RIL"
"A_QG3248" 92.1666666666667 "A6" "RIL"
"A_QG3221" 141.333333333333 "A6" "RIL"
"A_QG3138" 83.8666666666667 "A6" "RIL"
"A_QG3321" 90.3666666666667 "A6" "RIL"
"A_QG3090" 142.95 "A6" "RIL"
"A_QG3381" 122.883333333333 "A6" "RIL"
"A_QG3333" 113.683333333333 "A6" "RIL"
"A_QG3241" 110.916666666667 "A6" "RIL"
"A_QG3334" 184.216666666667 "A6" "RIL"
"A_QG3392" 94.2833333333333 "A6" "RIL"
"A_QG3488" 142.166666666667 "A6" "RIL"
"A_QG3333" 91.4166666666667 "A6" "RIL"
"A_QG3090" 92.7666666666667 "A6" "RIL"
"A_QG3255" 120.4 "A6" "RIL"
"A_QG3126" 117.766666666667 "A6" "RIL"
"A_QG3266" 142.65 "A6" "RIL"
"A_QG3238" 106.25 "A6" "RIL"
"A_QG3246" 109.433333333333 "A6" "RIL"
"A_QG3241" 104.733333333333 "A6" "RIL"
"A_QG3127" 146.416666666667 "A6" "RIL"
"A_QG3233" 99.7 "A6" "RIL"
"A_QG3125" 101.65 "A6" "RIL"
"A_QG3394" 126.216666666667 "A6" "RIL"
"A_QG3221" 125.416666666667 "A6" "RIL"
"A_QG3089" 94.7166666666667 "A6" "RIL"
"A_QG3095" 89.4333333333333 "A6" "RIL"
"A_QG3249" 99.6833333333333 "A6" "RIL"
"A_QG3337" 93.65 "A6" "RIL"
"A_QG3242" 113.2 "A6" "RIL"
"A_QG3464" 115.383333333333 "A6" "RIL"
"A_QG3483" 132.683333333333 "A6" "RIL"
"A_QG3205" 104.466666666667 "A6" "RIL"
"A_QG3140" 113.883333333333 "A7" "RIL"
"A_QG3380" 88.3833333333333 "A7" "RIL"
"A_QG3473" 84.8666666666667 "A7" "RIL"
"A_QG3120" 85.2 "A7" "RIL"
"A_QG3409" 88.2 "A7" "RIL"
"A_QG3212" 171.7 "A7" "RIL"
"A_QG3336" 84 "A7" "RIL"
"A_QG3124" 111.516666666667 "A7" "RIL"
"A_QG3141" 80.9833333333333 "A7" "RIL"
"A_QG3224" 86.3166666666667 "A7" "RIL"
"A_QG3387" 147.816666666667 "A7" "RIL"
"A_QG3104" 103.233333333333 "A7" "RIL"
"A_QG3494" 91.1333333333333 "A7" "RIL"
