"strain" "sex" "emmean" "SE" "df" "lower.CL" "upper.CL"
"QG3403" "m" 806.544073498225 10.960716396109 32458 785.060662997329 828.027483999122
"QG3410" "m" 726.345086791225 8.09356757277244 32458 710.481394282555 742.208779299895
"QG3456" "m" 800.790117463073 14.9689938092701 32458 771.450334626973 830.129900299173
"QG3457" "m" 752.009219060713 6.98642241867029 32458 738.315572101082 765.702866020344
"QG3458" "m" 788.794812272225 16.3623808372954 32458 756.723939201885 820.865685342566
"QG3463" "m" 741.53994483285 19.3450615900411 32458 703.622906905338 779.456982760363
"QG3464" "m" 796.302473550804 8.97657121370688 32458 778.708061168868 813.89688593274
"QG3470" "m" 701.093402670481 11.4455689888689 32458 678.659663112044 723.527142228917
"QG3473" "m" 737.637100803293 9.96565826774078 32458 718.104041125413 757.170160481174
"QG3483" "m" 772.810311943709 6.35280105979288 32458 760.358586338756 785.262037548662
"QG3488" "m" 728.392568811663 24.1759677666126 32458 681.006775674004 775.778361949322
"QG3494" "m" 810.245072355488 6.9983137194572 32458 796.528118005449 823.962026705527
"QG3502" "m" 747.468593882 13.5737012256324 32458 720.863636239788 774.073551524212
"QG3509" "m" 755.019455901746 9.98785782238095 32458 735.44288427373 774.596027529762
"QG3510" "m" 754.655208857596 11.1697973849761 32458 732.76199186692 776.548425848272
