"strain" "block" "scaled_mean_worm_length_um_f" "scaled_mean_worm_length_um_m" "mean_worm_length_um_f" "mean_worm_length_um_m" "scaled_SE_f" "scaled_SE_m" "SE_f" "SE_m" "weight_f" "weight_m" "conv" "div" "SE_rotated" "weight_rotated"
"QG3134" "E" 1.98735091381141 1.36981900815915 1083.61513492666 801.348443978547 0.0916721791901015 0.196230752606506 6.99316844871356 7.4670522418356 0.459175094276486 1.23730042838584 2.08038913063729 0.114379459873251 0.153150737356988 42.6345629944637
"QG3135" "D" 0.871640099250284 -0.0634628483985612 998.503667792255 746.808621050524 0.0554022533201243 0.39502410332064 4.2263344596892 15.0316175069375 1.2571832238823 0.305324820501042 0.258960610532367 0.333389710876825 0.282058018745455 12.5696474836286
"QG3136" "C" 0.157713634770709 -0.266327230244271 944.04212809495 739.089143256505 0.0738145655761384 0.200855984310257 5.63090891482033 7.64305343585718 0.708221812150608 1.18097240815277 -0.39812118054837 -0.0348916965940333 0.151313774198577 43.676021599512
"QG3138" "B" -0.861850625330838 -0.584625942169533 866.265154991773 726.977111483274 0.0538071482915495 0.354257540037357 4.10465263367869 13.4803516950656 1.33282608329763 0.379639241632578 -1.35685309404854 -0.540489406493787 0.253370888107325 15.5770987321852
"QG3139" "B" 1.04560166085793 -0.211282395534588 1011.77424251483 741.183731647778 0.0423411935521821 0.29198768373653 3.2299777472942 11.1108338498058 2.15242110719103 0.558830674044208 0.278666170541768 0.563533108862099 0.208625962101133 22.9754113141126
"QG3139" "F" 0.179148328262986 -0.438717130126962 945.677263460579 732.529292818739 0.191379074338694 0.283397278294356 14.5992613706064 10.7839482553552 0.105357276413861 0.593222960966131 -0.50543685326693 0.103209143747127 0.241805673464648 17.1027925164825
"QG3140" "C" 0.00847106673273976 -0.948756812966666 932.657230002325 713.121055798875 0.0616584787972914 0.215515174185977 4.70358763509628 8.20087087869443 1.0150041613116 1.02577850620071 -0.991052402814165 0.343692748325417 0.15850640099379 39.8021369604559
"QG3141" "C" 0.663911725344505 0.89904796085028 982.657207905139 783.434473015759 0.0541602733827346 0.126700769712173 4.13159061276834 4.82126911279148 1.31550268482481 2.96791046959333 0.794909142816797 -0.500904716251576 0.0974331059202917 105.338445729358
"QG3141" "E" 1.40563761751318 1.53966599922817 1039.23941367939 807.811530618051 0.271530495073786 0.597874879566572 20.713574257637 22.7505775751519 0.0523378901798804 0.133287275130491 1.78355004292027 -0.424256022703389 0.464318415191428 4.63839984119334
"QG3141" "G" 0.61912096449516 0.164152858487586 979.240366085376 755.469946310736 0.0661606199996292 0.241288895956246 5.04703132854828 9.18162300020852 0.88156492340119 0.818341601684324 0.239641073905025 -0.00996651896533972 0.176914610689055 31.9501276652162
"QG3181" "E" 1.35070817663046 2.43955922513028 1035.04914749088 842.054632887345 0.251478825610765 0.172373479320796 19.1839422201783 6.55922559587981 0.0610169629562046 1.60349794100664 2.38465423964407 -1.10425157589094 0.215585500560365 21.5159686545925
"QG3183" "E" 1.30383105200282 1.45800013134803 1031.47314840579 804.703947867968 0.109506265783741 0.171472241193387 8.35363323508714 6.52493131687251 0.321792186988786 1.62039783335309 1.6523108808087 -0.439234588661825 0.143865130844452 48.3157705254747
"QG3197" "E" 0.891146055579404 0.901696905601501 999.991670363678 783.535271736553 0.10642851475298 0.156452583810783 8.11884846623514 5.95339721816135 0.340672777685937 1.9464525563232 0.959975154334723 -0.339609777079389 0.133799177377134 55.858994439826
"QG3205" "B" -1.0825873471262 -1.58322538113793 849.426359492752 688.978000332755 0.0451518519598284 0.409379438922378 3.44438748283352 15.5778725636166 1.89278941324041 0.28428716292636 -2.22617713863075 0.0118057529596547 0.291230333883511 11.7903523436169
"QG3207" "F" 0.051252925931532 -0.268014156101711 935.92082371821 739.024951669109 0.0892541028888662 0.270003169926729 6.80870665184371 10.2742702075192 0.48439210510898 0.653539101060843 -0.475773021492939 -0.11014200785499 0.201082081067631 24.7316594383539
"QG3211" "A" -0.131174104172042 -0.952272868392537 922.004464770669 712.987261430758 0.130673940185377 1.110857433331 9.96839917679332 42.2707979138583 0.225982839604683 0.0386093643283561 -1.09383650387646 0.245914149690637 0.790910840686325 1.59861890091383
"QG3212" "C" -0.0867948653056058 0.039954595783723 925.38991383232 750.743903610311 0.0527422984495753 0.164279708969463 4.0234210715701 6.25123816147386 1.38718802358072 1.76539321331209 -0.355693099594645 -0.428490423524668 0.122003222959141 67.1826905870642
"QG3212" "G" -1.21825791789962 -1.406950169433 839.07679473566 695.685696232901 0.057780250420336 0.227497867465941 4.4077388338325 8.65684118676743 1.15583168316258 0.920565388710475 -2.19813041999875 -0.211095222124319 0.165972643890774 36.3017010149633
"QG3214" "F" 0.198192881335243 -1.00764664750665 947.130068104708 710.8801559135 0.131598501009722 0.39184100763493 10.0389288581301 14.9104930579903 0.222818655658429 0.310305542758956 -0.896728412003883 0.521853076747709 0.292282004862054 11.7056583597493
"QG3215" "D" -0.144378450953134 -0.93840206048283 920.997177476844 713.515079043046 0.0372524482231257 0.280706866150265 2.84178523792993 10.6815716004979 2.78063378355622 0.604648849579413 -1.09344541719063 0.226558573069402 0.200229979776405 24.9426040741275
"QG3215" "G" -0.018379841757389 0.0532137629467553 930.608921259898 751.248446820661 0.049914624514641 0.171418360428152 3.80771331465045 6.52288102412536 1.54880883577319 1.62141665066689 -0.297125254795521 -0.388798502276992 0.126245245519017 62.7436728330478
"QG3217" "E" 2.02272334116972 1.09709768878746 1086.31350366996 790.97074164514 0.122779262615959 0.228961232054417 9.36615746530604 8.71252573001999 0.255978442885814 0.90883573620562 1.91166579984999 0.33390576136018 0.183708999660326 29.6305105941398
"QG3219" "C" 0.454030286018996 -0.11793434632228 966.6465024498 744.735849503329 0.0694118322334942 0.50289799967356 5.29504850251322 19.1364787934498 0.800914981859137 0.188386373531059 -0.0797046017274584 0.0722708345141471 0.358973815569937 7.76022757600589
"QG3220" "D" -0.0866523222714697 -1.13454113603785 925.400787659666 706.051515333582 0.0586362533724577 0.348700145087444 4.47303861059868 13.2688794468664 1.12233112952863 0.391836642197153 -1.19160446920714 0.407625670788036 0.250029999593612 15.9961607430884
"QG3221" "B" 0.381507597842153 0.696773815523487 961.114143785974 775.737455141315 0.057144479914818 0.256080568905121 4.35923938417296 9.74448174271598 1.18169355146704 0.726534179620942 0.448130328018683 -0.559723415857228 0.185529983231155 29.0517159573619
"QG3224" "C" 0.674849208973402 0.329908504351649 983.491568625018 761.777347421958 0.0855888416013425 0.223717667206525 6.52910394338132 8.51299547223631 0.526767700263699 0.951938163289844 0.397646336506711 -0.0879331587523787 0.169373912434869 34.858360807808
"QG3225" "A" 1.73555524608442 0.9015908979345 1064.40702255682 783.531237889783 0.117431695320536 0.252941339405255 8.95822084573279 9.62502650767636 0.27982259069163 0.744679973114167 1.56628295360302 0.266848936088216 0.197192195897783 25.7170147225556
