rilname,panel,lib,file1,file2
QG3187,beta,H2L2LDSXC,H2L2LDSXC_l01_n01_B_QG3187.fastq.gz,H2L2LDSXC_l01_n02_B_QG3187.fastq.gz
QG3188,beta,H2L2LDSXC,H2L2LDSXC_l01_n01_B_QG3188.fastq.gz,H2L2LDSXC_l01_n02_B_QG3188.fastq.gz
QG3192,beta,H2L2LDSXC,H2L2LDSXC_l02_n01_B_QG3192.fastq.gz,H2L2LDSXC_l02_n02_B_QG3192.fastq.gz
QG3193,beta,H2L2LDSXC,H2L2LDSXC_l02_n01_B_QG3193.fastq.gz,H2L2LDSXC_l02_n02_B_QG3193.fastq.gz
QG3194,beta,H2L2LDSXC,H2L2LDSXC_l02_n01_B_QG3194.fastq.gz,H2L2LDSXC_l02_n02_B_QG3194.fastq.gz
QG3196,beta,H2L2LDSXC,H2L2LDSXC_l02_n01_B_QG3196.fastq.gz,H2L2LDSXC_l02_n02_B_QG3196.fastq.gz
QG3197,beta,H2L2LDSXC,H2L2LDSXC_l02_n01_B_QG3197.fastq.gz,H2L2LDSXC_l02_n02_B_QG3197.fastq.gz
QG3198,beta,HF753DRX7,HF753DRX7_n01_QG3198_TP25.fastq.gz,HF753DRX7_n02_QG3198_TP25.fastq.gz
QG3199,beta,H2L2LDSXC,H2L2LDSXC_l02_n01_B_QG3199.fastq.gz,H2L2LDSXC_l02_n02_B_QG3199.fastq.gz
QG3200,beta,H2L2LDSXC,H2L2LDSXC_l02_n01_B_QG3200.fastq.gz,H2L2LDSXC_l02_n02_B_QG3200.fastq.gz
QG3201,beta,H2L2LDSXC,H2L2LDSXC_l02_n01_B_QG3201.fastq.gz,H2L2LDSXC_l02_n02_B_QG3201.fastq.gz
QG3202,beta,H2L2LDSXC,H2L2LDSXC_l02_n01_B_QG3202.fastq.gz,H2L2LDSXC_l02_n02_B_QG3202.fastq.gz
QG3203,beta,H2L2LDSXC,H2L2LDSXC_l02_n01_B_QG3203.fastq.gz,H2L2LDSXC_l02_n02_B_QG3203.fastq.gz
QG3205,alpha,H2L2LDSXC,H2L2LDSXC_l02_n01_A_QG3205.fastq.gz,H2L2LDSXC_l02_n02_A_QG3205.fastq.gz
QG3206,alpha,H2L2LDSXC,H2L2LDSXC_l02_n01_A_QG3206.fastq.gz,H2L2LDSXC_l02_n02_A_QG3206.fastq.gz
QG3207,alpha,H2L2LDSXC,H2L2LDSXC_l02_n01_A_QG3207.fastq.gz,H2L2LDSXC_l02_n02_A_QG3207.fastq.gz
QG3208,alpha,H2L2LDSXC,H2L2LDSXC_l02_n01_A_QG3208.fastq.gz,H2L2LDSXC_l02_n02_A_QG3208.fastq.gz
QG3209,alpha,H2L2LDSXC,H2L2LDSXC_l02_n01_A_QG3209.fastq.gz,H2L2LDSXC_l02_n02_A_QG3209.fastq.gz
QG3211,alpha,H2L2LDSXC,H2L2LDSXC_l02_n01_A_QG3211.fastq.gz,H2L2LDSXC_l02_n02_A_QG3211.fastq.gz
QG3212,alpha,H2L2LDSXC,H2L2LDSXC_l02_n01_A_QG3212.fastq.gz,H2L2LDSXC_l02_n02_A_QG3212.fastq.gz
QG3213,alpha,H2L2LDSXC,H2L2LDSXC_l02_n01_A_QG3213.fastq.gz,H2L2LDSXC_l02_n02_A_QG3213.fastq.gz
QG3214,alpha,H2L2LDSXC,H2L2LDSXC_l02_n01_A_QG3214.fastq.gz,H2L2LDSXC_l02_n02_A_QG3214.fastq.gz
QG3215,alpha,H2L2LDSXC,H2L2LDSXC_l02_n01_A_QG3215.fastq.gz,H2L2LDSXC_l02_n02_A_QG3215.fastq.gz
QG3217,alpha,H2L2LDSXC,H2L2LDSXC_l02_n01_A_QG3217.fastq.gz,H2L2LDSXC_l02_n02_A_QG3217.fastq.gz
