outdir,nCO,nHet,sizeHetall,sizeHet_het,nGoutcross,cross,N
output/panelA_N400_nGoutcross4_nloci500,20.71540544370241,56,1.035126582278481,2.9205357142857147,4,A,400
output/panelA_N400_nGoutcross4_nloci500,21.223035971508015,62,1.2604430379746836,3.2120967741935487,4,A,400
output/panelA_N400_nGoutcross4_nloci500,20.56846251155549,54,1.3518987341772153,3.9555555555555557,4,A,400
output/panelA_N400_nGoutcross4_nloci500,21.288507110496543,73,1.2582278481012659,2.723287671232877,4,A,400
output/panelA_N400_nGoutcross4_nloci500,21.33720932823759,68,1.1009493670886077,2.5580882352941177,4,A,400
output/panelA_N400_nGoutcross4_nloci500,20.509957066142768,55,0.9468354430379747,2.72,4,A,400
output/panelA_N400_nGoutcross4_nloci500,21.10649699146447,58,0.8465189873417722,2.306034482758621,4,A,400
output/panelA_N400_nGoutcross4_nloci500,21.00911022480806,72,1.2914556962025316,2.834027777777778,4,A,400
output/panelA_N400_nGoutcross4_nloci500,20.8990525926069,69,1.3462025316455697,3.082608695652174,4,A,400
output/panelA_N400_nGoutcross4_nloci500,21.14761848792627,73,1.5072784810126583,3.2623287671232877,4,A,400
output/panelA_N400_nGoutcross4_nloci500,20.939796180066004,61,1.0873417721518988,2.816393442622951,4,A,400
output/panelA_N400_nGoutcross4_nloci500,21.55102474862858,60,1.2604430379746836,3.319166666666667,4,A,400
output/panelA_N400_nGoutcross4_nloci500,20.697808985224054,59,1.0750000000000002,2.878813559322034,4,A,400
output/panelA_N400_nGoutcross4_nloci500,20.906856450360955,52,0.8658227848101266,2.6307692307692307,4,A,400
output/panelA_N400_nGoutcross4_nloci500,20.14644795486433,62,1.3458860759493672,3.4298387096774197,4,A,400
output/panelA_N400_nGoutcross4_nloci500,21.07963129553211,62,1.1484177215189875,2.9266129032258066,4,A,400
output/panelA_N400_nGoutcross4_nloci500,20.924356388739056,57,0.9449367088607595,2.6192982456140355,4,A,400
output/panelA_N400_nGoutcross4_nloci500,21.838389084634372,65,1.2708860759493672,3.0892307692307694,4,A,400
output/panelA_N400_nGoutcross4_nloci500,21.732567811363165,65,1.154113924050633,2.8053846153846154,4,A,400
output/panelA_N400_nGoutcross5_nloci500,21.714612666824543,62,0.9525316455696203,2.42741935483871,5,A,400
output/panelA_N400_nGoutcross5_nloci500,22.321042963066244,60,1.2373417721518989,3.2583333333333337,5,A,400
output/panelA_N400_nGoutcross5_nloci500,22.03382807691078,69,1.2208860759493672,2.7956521739130435,5,A,400
output/panelA_N400_nGoutcross5_nloci500,22.13905423332753,61,1.220253164556962,3.1606557377049183,5,A,400
output/panelA_N400_nGoutcross5_nloci500,22.71466376033904,61,0.9015822784810127,2.3352459016393445,5,A,400
output/panelA_N400_nGoutcross5_nloci500,23.025621540821717,64,1.0746835443037976,2.653125,5,A,400
output/panelA_N400_nGoutcross5_nloci500,23.39367168051823,60,1.0455696202531646,2.7533333333333334,5,A,400
output/panelA_N400_nGoutcross5_nloci500,22.45979391658172,67,1.2537974683544304,2.9567164179104477,5,A,400
output/panelA_N400_nGoutcross5_nloci500,23.228793989573074,50,1.0816455696202532,3.418,5,A,400
output/panelA_N400_nGoutcross5_nloci500,22.59970145926885,60,1.0022151898734177,2.6391666666666667,5,A,400
output/panelA_N400_nGoutcross5_nloci500,21.674661271529253,67,1.143987341772152,2.6977611940298507,5,A,400
output/panelA_N400_nGoutcross5_nloci500,22.796060228884595,62,1.2610759493670887,3.213709677419355,5,A,400
output/panelA_N400_nGoutcross5_nloci500,22.624359469053868,51,0.9563291139240507,2.962745098039216,5,A,400
output/panelA_N400_nGoutcross5_nloci500,22.055365221941607,59,1.164873417721519,3.119491525423729,5,A,400
output/panelA_N400_nGoutcross5_nloci500,22.76679258388014,57,1.2965189873417722,3.593859649122807,5,A,400
output/panelA_N400_nGoutcross5_nloci500,21.882487464335668,58,0.9085443037974684,2.475,5,A,400
output/panelA_N400_nGoutcross5_nloci500,22.77235377748863,62,1.2354430379746837,3.1483870967741936,5,A,400
output/panelA_N400_nGoutcross5_nloci500,23.154075685884944,66,1.3712025316455696,3.2825757575757577,5,A,400
output/panelA_N400_nGoutcross5_nloci500,22.79519255060424,67,1.158227848101266,2.7313432835820897,5,A,400
output/panelA_N400_nGoutcross5_nloci500,22.362644469216065,63,0.9825949367088608,2.4642857142857144,5,A,400
output/panelA_N400_nGoutcross5_nloci500,22.725383755371514,66,1.2712025316455697,3.0431818181818184,5,A,400
output/panelA_N400_nGoutcross5_nloci500,22.97008450918568,58,1.254746835443038,3.418103448275862,5,A,400
output/panelA_N400_nGoutcross5_nloci500,22.423958272779608,57,0.9158227848101266,2.5385964912280703,5,A,400
output/panelA_N400_nGoutcross5_nloci500,22.167777843819035,62,1.0382911392405063,2.645967741935484,5,A,400
