gpos1,gpos2,mean.r2,nobs,chrom,panel,domain
3.1,3.2,0.29026756679949467,2494436,I,β,arm&center
3.2,3.3000000000000003,0.27857100223070996,2815702,I,β,arm&center
3.3000000000000003,3.4000000000000004,0.2536198537868096,3497993,I,β,arm&center
3.4000000000000004,3.5,0.2430952540207501,3529822,I,β,arm&center
3.5,3.6,0.22150165457692625,2838802,I,β,arm&center
3.6,3.7,0.22691537245257432,2290563,I,β,arm&center
3.7,3.8000000000000003,0.21015330852164688,2162154,I,β,arm&center
3.8000000000000003,3.9000000000000004,0.17143214386703998,1659945,I,β,arm&center
3.9000000000000004,4,0.1726031059294492,2130407,I,β,arm&center
4,4.1000000000000005,0.16525540468418098,2654903,I,β,arm&center
4.1000000000000005,4.2,0.15635063304289318,3125320,I,β,arm&center
4.2,4.3,0.16654732663738284,3762661,I,β,arm&center
4.3,4.4,0.15584087084305376,3932941,I,β,arm&center
4.4,4.5,0.1349026169182924,3420609,I,β,arm&center
4.5,4.6000000000000005,0.140074046011174,3018843,I,β,arm&center
4.6000000000000005,4.7,0.14231559644770814,2373090,I,β,arm&center
4.7,4.800000000000001,0.1304868153631772,1882093,I,β,arm&center
4.800000000000001,4.9,0.11762669284721534,2039282,I,β,arm&center
4.9,5,0.12207459272091584,1962349,I,β,arm&center
0,0.1,0.3758546517312795,59631801,I,β,center
0.1,0.2,0.32503548331949644,39633131,I,β,center
0.2,0.30000000000000004,0.30579400464622386,33495383,I,β,center
0.30000000000000004,0.4,0.29983534280919893,25185791,I,β,center
0.4,0.5,0.26269230762685575,7865395,I,β,center
0.5,0.6000000000000001,0.2794156574350697,2670349,I,β,center
0.6000000000000001,0.7000000000000001,0.292338399174708,2122316,I,β,center
0.7000000000000001,0.8,0.31643030361218394,1913673,I,β,center
0.8,0.9,0.3341750118476468,1715007,I,β,center
0.9,1,0.3338504999538668,1494148,I,β,center
1,1.1,0.3062960889426598,1047131,I,β,center
1.1,1.2000000000000002,0.316092361147311,1057109,I,β,center
1.2000000000000002,1.3,0.32971041205311635,950801,I,β,center
1.3,1.4000000000000001,0.3685664306963832,787873,I,β,center
1.4000000000000001,1.5,0.3626443559429572,661440,I,β,center
1.5,1.6,0.3442924889915421,719704,I,β,center
1.6,1.7000000000000002,0.3041219096123886,669954,I,β,center
1.7000000000000002,1.8,0.26652712241878507,567463,I,β,center
1.8,1.9000000000000001,0.28152819444698723,454269,I,β,center
1.9000000000000001,2,0.2603045918099841,533000,I,β,center
2,2.1,0.3051426984242272,863591,I,β,center
2.1,2.2,0.278699504403107,914862,I,β,center
2.2,2.3000000000000003,0.22230679302473272,1176673,I,β,center
2.3000000000000003,2.4000000000000004,0.1985356644326303,1878178,I,β,center
2.4000000000000004,2.5,0.1768687499622807,1591949,I,β,center
2.5,2.6,0.21857320989609616,1121839,I,β,center
2.6,2.7,0.1883358598370385,1284228,I,β,center
2.7,2.8000000000000003,0.1936480048199602,770986,I,β,center
2.8000000000000003,2.9000000000000004,0.17124280456330837,121340,I,β,center
2.9000000000000004,3,0.14556807789217882,494655,I,β,center
